
0,0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,-1.0,44.91102314577124,43.73785545725808,55.57877292636101,-1.0,44.91102314577124,43.73785545725808,null,0,0,0,0,213,200,70,,0,UP,,0,60
3,3,73.0,68.0,500.0,500.0,73.0,68.0,500.0,500.0,-1.0,12.041594578792296,10.63014581273465,12.041594578792296,-1.0,12.041594578792296,10.63014581273465,null,0,0,0,0,204,200,160,,3,DOWN,,3,50
3,3,41.0,36.0,500.0,500.0,41.0,36.0,500.0,500.0,24.351591323771842,95.33624704172071,25.0,-1.0,24.351591323771842,95.33624704172071,25.0,null,0,0,0,0,200,200,200,,3,RIGHT,,3,40
3,3,33.0,86.0,31.0,51.0,87.0,36.0,31.0,51.0,24.351591323771842,95.33624704172071,-1.0,25.0,24.351591323771842,95.33624704172071,-1.0,null,0,0,0,0,199,200,210,,3,DOWN,,3,90
4,4,33.0,86.0,7.0,27.0,63.0,36.0,7.0,27.0,35.90264614203248,63.50590523722971,37.107950630558946,-1.0,35.90264614203248,63.50590523722971,37.107950630558946,null,0,0,0,0,196,200,240,,4,LEFT,,4,70
5,5,33.0,84.0,89.0,69.0,63.0,36.0,7.0,107.0,59.53990258641679,39.81205847478876,41.0,40.607881008493905,59.53990258641679,39.81205847478876,41.0,null,0,0,0,0,190,200,300,,5,LEFT,,5,10
6,6,74.0,86.0,114.0,106.0,74.0,36.0,103.0,107.0,59.53990258641679,39.81205847478876,40.607881008493905,41.0,59.53990258641679,39.81205847478876,40.607881008493905,null,0,0,0,0,189,200,310,,6,LEFT,,6,0
7,7,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,56.859475903318,60.207972893961475,-1.0,57.14017850864661,56.859475903318,60.207972893961475,-1.0,null,0,0,0,0,189,200,310,,7,LEFT,,7,30
8,8,56.0,500.0,500.0,500.0,56.0,500.0,500.0,500.0,59.53990258641679,39.81205847478876,41.0,40.607881008493905,59.53990258641679,39.81205847478876,41.0,null,0,0,0,0,189,200,310,,8,DOWN,,8,60
9,9,80.0,100.0,500.0,500.0,56.0,76.0,500.0,500.0,71.449282711585,28.160255680657446,29.410882339705484,-1.0,71.449282711585,28.160255680657446,29.410882339705484,null,0,0,0,0,186,200,340,,9,LEFT,,9,200
10,10,80.0,100.0,500.0,500.0,80.0,76.0,500.0,500.0,18.788294228055936,-1.0,18.35755975068582,17.46424919657298,18.788294228055936,-1.0,18.35755975068582,null,0,0,0,0,183,200,370,,10,LEFT,,10,230
11,11,84.0,104.0,124.0,125.0,108.0,112.0,140.0,125.0,80.30566605165541,-1.0,79.40403012442127,81.39410298049853,80.30566605165541,-1.0,79.40403012442127,null,171,171,171,0,171,200,540,,11,UP,,11,80
14,14,146.0,166.0,126.0,131.0,150.0,170.0,115.0,159.0,68.3593446428504,-1.0,67.47592163134935,69.46221994724903,68.3593446428504,-1.0,67.47592163134935,null,71,71,71,0,160,200,650,,14,RIGHT,,14,120
15,15,126.0,120.0,33.0,114.0,126.0,146.0,33.0,114.0,83.38465086573187,-1.0,84.29116205154607,84.48076704197234,83.38465086573187,-1.0,84.29116205154607,null,175,175,175,175,136,200,940,,15,RIGHT,,15,80
15,15,143.0,162.0,63.0,109.0,132.0,152.0,39.0,152.0,-1.0,87.32124598286491,86.12200647918046,86.58521813797087,-1.0,87.32124598286491,86.12200647918046,null,163,163,163,163,133,200,970,,15,DOWN,,15,50
15,15,170.0,180.0,85.0,169.0,155.0,164.0,136.0,164.0,108.85311203635843,-1.0,109.65856099730654,110.02272492535349,108.85311203635843,-1.0,109.65856099730654,null,139,139,139,139,128,200,1020,,15,LEFT,,15,0
18,18,117.0,73.0,500.0,87.0,144.0,132.0,500.0,87.0,83.38465086573187,-1.0,84.48076704197234,84.29116205154607,83.38465086573187,-1.0,84.48076704197234,null,27,27,0,27,128,400,1220,,18,RIGHT,,18,30
